,Unnamed: 0,title,full_time,part_time,from_home,freelance_project,internship,shift_based,date,company_and_location,company_info,num_open_pos,num_applicants,num_viewed,in_consid,not_selected,num_of_employees,sector,job_description,job_requirement,exp_years,career_level,edu_level,sex,salary,job_cats,skills_and_tools,link
7308,7308,HSE Lead,1,0,0,0,0,0,Posted 1 month ago,"El Sewedy Education - Th... - New Capital, Cairo","Building its presence in Egypt and the region on three main pillars: Innovation, Inclusivity and Accessibility
Extend...",Applicants for1 open position,149,5,2.0,1.0, 101-500 employees,Education,"Provide health and safety support, guidance, and information to ensure the continued growth, development, and compliance of TKH’s entities with TKH policies and procedures, as well as, international standards and local legal guidelines. Comply with Nova and Coventry universities with all health and safety strategies, policies and procedures including: laboratories, workshops and student activities. Effectively drive incident reduction across all TKH premises. This includes developing and supporting new programs of improvement. Carry out incident investigations and ensure detailed reports are provided to Chef Business Development Officer with smart short & long term actions. Ensure all TKH’s life safety systems are in compliance with international standards and legal requirements, undergoing periodic maintenances & inspections, ensuring preparedness for playing their roles in real emergency cases. Ensure Emergency preparedness, and response procedures are in place, and implemented, enhance staff, contractors, and student’s awareness with all emergency roles. Provide practical health and safety advices and support to students, staff and contractors. Approve all types of records related to HSE requested by the third party ""Consultant, Sub-Contractors, etc."" Act as liaison with all related governmental bodies and regulating agencies, ensure full compliance regarding OHS premises and documentation requirements. Ensure that TKH premises current health and safety management system remains compliant with ISO 45001:2018 standard and local legal requirements. Responsible for carrying out Audits & inspections in conjunction with appropriate management to see that statute, codes of practice, method statements, risk assessments and TKH HSE arrangements are complied with HSE strategies, international standards and legal requirement, ensuring adequate reports are provided to Chef Business Development Officer.Develop training matrix – risk based on the nature of industry & activities performed across all TKH members, delivering health and safety training, including H&S awareness and other selected programs to Students, staff, or contractors. Ensure all outlets including Food and beverages are following correct recipe guidelines for product are met during processing, including food safety hazards and temperatures, besides, HSE practices relative to international standards and local guidelines. Issues necessary HSE monthly, quarterly and annual HSE data reports and projects forecasted HSE requirements","Technical Requirements:Engineering/Scientific Bachelor’s degree with a minimum of 6+ years of experience in a related field experience,accredited with minimum Health & Safety qualifications:1- NEBOSH Diploma or NEBOSH International general certificate as a minimum.2- OSHA General Certificate.3- Hazard Identification & risk assessment.4- Local NIOSH certificate.5- Food safety awareness.6- ISO 45001:2019 lead auditor, Full awareness of ISO 45001:2018 standards.Skills & Competencies:1- Accredited training “train the trainer”.2- Excellent communication skills written and verbal.3- Candidate must have Fluent English.4- Planning, organizing, and Prioritizing",6 to 8 years,Manager,Not Specified,,"Confidential, Social Insurance
Medical Insurance
Transportation provided by buses",Engineering - Construction/Civil/Architecture,"['Engineering', 'HSE', 'Lead auditor', 'NEBOSH', 'Safety']",https://wuzzuf.net/jobs/p/xB6Hg0uxfnB5-HSE-Lead-El-Sewedy-Education---The-Knowledge-Hub-Universities-Cairo-Egypt
6885,6885,Senior Accountant,1,0,0,0,0,0,Posted 1 month ago,"property Advisors Egypt - Maadi, Cairo",,Applicants for1 open position,258,182,32.0,144.0, 11-50 employees,Real Estate/Property Management,"Verify, allocate, post and reconcile accounts payable and receivableProduce error-free accounting reports and present their resultsAnalyze financial information and summarize financial statusSpot errors and suggest ways to improve efficiency and spendingProvide technical support and advice on Management AccountantReview and recommend modifications to accounting systems and proceduresManage accounting assistants and bookkeepersParticipate in financial standards setting and in forecast processProvide input into department’s goal setting processPrepare financial statements and produce budget according to scheduleAssist with tax audits and tax returnsDirect internal and external audits to ensure compliancePlan, assign and review staff’s workSupport month-end and year-end close processDevelop and document business processes and accounting policies to maintain and strengthen internal controls","Proven experience as a Financial Controller, Accounting Supervisor, chief or senior accountantThorough knowledge of basic accounting proceduresIn-depth understanding of Generally Accepted Accounting Principles (GAAP)Awareness of business trendsFamiliarity with financial accounting statementsExperience with general ledger functions and the month-end/year-end close processHands-on experience with accounting software packages, like FreshBooks and QuickBooksAdvanced MS Excel skills including Vlookups and pivot tablesAccuracy and attention to detailAptitude for numbers and quantitative skillsBS degree in Accounting, Finance or relevantRelevant certification (e.g. CMA or CPA) will be preferred",4 to 6 years,Manager,Not Specified,,12000 to 15000 EGP Per Month,Accounting/Finance,"['Finance', 'Accounting']",https://wuzzuf.net/jobs/p/P2PCdiIrj1rR-Senior-Accountant-property-Advisors-Egypt-Cairo-Egypt
1379,1379,Security System Projects Engineer,1,0,0,0,0,0,Posted 6 days ago,"Tatas - Abdeen, Cairo",*TATAS is one of the leading companies in Egypt since 1980 for Professional Audio Visual and Security Integrated Syst...,Applicants for1 open position,11,0,0.0,0.0, 101-500 employees,"Business Supplies and Equipment, Engineering Services, Telecommunications","Studying assigned projects or tenders technically and providing the best possible solution according to technical specifications and clients requirements.Defining project scope based on customers’ needs.Analysing RFPs/RFIs.Preparing  comply sheets, single line Diagrams, and other projects requirements.Assisting the Sales team in discussing technical issues with clients.Providing technical support to the Installation Department during ongoing projects.Coordinating with international and local suppliers for any technical issue or for advice for the best technical solution.Searching for new vendors or systems to provide complete integration.","Bachelor’s degree in Electronics & Communication Engineering2-4 years of experience in Security Systems including but not limited to:CCTV Systems.Access Control Systems.Video Management Systems.Security Systems integration.Intrusion SystemsProven record of Technical Knowledge & understanding of CCTV & IP Networking.Good Experience in AutocadGood knowledge of IT infrastructure and related technologies.CCNA Preferable.Excellent command of English language.Excellent awareness of Microsoft office tools.Excellent Communication, Presentation & Negotiations skills.",2 to 4 years,Entry Level (Junior Level / Fresh Grad),Not Specified,,"Confidential, Bonus on Successful Projects",Project/Program Management,"['CCNA', 'Electronics', 'Communication', 'CCTV System', 'AutoCAD', 'Engineering', 'Access Control System', 'Light Current Systems']",https://wuzzuf.net/jobs/p/JJGOmrQwNnvD-Security-System-Projects-Engineer-Tatas-Cairo-Egypt
8032,8032,Cost Accountant,1,0,0,0,0,0,Posted 2 months ago,"IMUT International Marat... - Obour City, Cairo","As specialists in the design and integration of military armored vehicle systems, IMUT  (PTY) LTD offers superior ser...",Applicants for1 open position,120,41,8.0,0.0, 501-1000 employees,"Automotive, Information Technology Services, Military","Collect cost information and maintain an expenses databaseConstruct data accumulation systemsDetermine fixed costs (e.g. salaries, rent and insurance)Plan and record variable costs (e.g. purchases of raw material and operations costs)Review standard and actual costs for inaccuraciesPrepare budgeting reports (for the company and for each department)Analyze and report profit marginsPrepare (monthly, quarterly and annual) cost forecastsAssisting in month-end and year-end closingIdentify and recommend cost-effective solutions","Proven work experience as a Cost Accountant, Cost Analyst, Accountant or similar roleThorough knowledge of accounting proceduresIn-depth understanding of Generally Accepted Accounting Principles (GAAP)Experience with accounting software, like FreshBooks and ZohoComputer literacy, MS Excel in particular (familiarity with VLOOKUPs and pivot tables)Excellent analytical skills with an attention to detailStrong time management skillsIntegrity, with an ability to handle confidential informationBSc degree in Accounting, Finance or relevant study",5 to 7 years,Experienced (Non-Manager),Not Specified,,Confidential,Accounting/Finance,"['Accounting', 'accountant', 'Accounting Software', 'Cost Accountant', 'Cost', 'Cost Accounting', 'Finance']",https://wuzzuf.net/jobs/p/wkbpYe0kkAPO-Cost-Accountant-IMUT-International-Marathon-United-Technology-Cairo-Egypt
41,41,Office Manager,1,0,0,0,0,0,Posted 4 hours ago,"Tamweely - Shubra, Cairo",Tamweely Microfinance is a non-banking organization that is established to reinforce Egyptian economy and individuals...,Applicants for1 open position,36,0,0.0,0.0, More than 1000 employees,Financial Services,Scheduling meetings and appointments within the office.Organizing the office layout and ordering stationery and equipment.Provide general support to visitors.Overseeing general office operation.Coordinating appointments and meetings and managing Executive board  member calendars and schedules.Creating presentations and other management-level reports.Establish a historical reference for the office by outlining procedures.Perform review and analysis of special projects and keep the management properly informed.Design and implement filing systems.Ensure filing systems are maintained and current.Attend Meeting and prepare minutes of meetings.,"A bachelor’s degree or equivalent.Five to seven years of experience As PA.Excellent computer skills, including a high degree of proficiency in Microsoft Word, Excel, Outlook, and PowerPoint.Excellent time management skills and ability to multi-task and prioritize work.Attention to detail and problem-solving skills.Excellent written and verbal communication skills.",5 to 7 years,Manager,Bachelor's Degree,,Confidential,Administration,"['Administration', 'Communication skills', 'Office management', 'Management', 'Microsoft Office', 'Microsoft Word', 'Computer Skills']",https://wuzzuf.net/jobs/p/Tj5NbTsK5bBq-Office-Manager-Tamweely-Cairo-Egypt
7675,7675,senior Site Engineer,1,0,0,0,0,0,Posted 1 month ago,"Rostom Architect  - New Capital, Cairo",,Applicants for1 open position,175,60,15.0,0.0,,,"Discussing the objectives, requirements and budgets of a project.Consulting with other professionals about the design of an environment.Producing detailed workings, drawings and specifications.Specifying the nature and quality of materials required.Preparing applications for planning and building control department.Projects managing and helping to coordinate the work of contractors.Controlling a project from start to finish.Resolving problems and issues that arise during construction.Setting out, leveling and surveying the siteChecking plans, drawings and quantities for accuracy of calculations.Ensuring that all materials used and work performed are as per specificationsDay-to-day management of the site, including supervising and monitoring the site labor force and the work of any subcontractors.Resolving any unexpected technical difficulties and other problems that may arise.",Familiar with building code and zoningBA/BS degree in Architecture.CommitmentTeam-playerhave a car,5 to 7 years,Experienced (Non-Manager),Not Specified,,Confidential,Engineering - Construction/Civil/Architecture,"['Architecture', 'Engineering', 'Building']",https://wuzzuf.net/jobs/p/Odr4cQRvchNx-senior-Site-Engineer-Rostom-Architect-Cairo-Egypt
4265,4265,French Teacher - (Maadi),1,0,0,0,0,0,Posted 20 days ago,"Under 5 International Pr... - Maadi, Cairo","Under Five International Preschool 

Our mission at Under 5 is to build a solid foundation in your child's developmen...",Applicants for2 open positions,21,5,0.0,0.0, 11-50 employees,Education,"Main Job Duties:Teaching French language for preschoolers in addition to activities, arts, and crafts.Plan and implement lessons/work schemesProvide a safe and stimulating environment that facilitates learningEnsure children are supervised at all timesSupport the development of children's basic skills, including physical coordination, speech, and communication.",Fluent/ Native-like French language is a must.Love kids.Energetic.Team player.Flexible.,More than 1 year,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,,Confidential,Education/Teaching,"['Startup', 'Communication Skills', 'Education', 'Teaching', 'French Teaching', 'french language', 'french']",https://wuzzuf.net/jobs/p/UFE8n9JZf2X7-French-Teacher---Maadi-Under-5-International-Preschool-Cairo-Egypt
6757,6757,Validation Specialist,1,0,0,0,0,0,Posted 1 month ago,"Rameda - 6th of October, Giza","Rameda is a modern pharmaceutical company, manufacturing and marketing a wide range of high quality pharmaceutical pr...",Applicants for1 open position,126,65,6.0,69.0, 101-500 employees,Pharmaceuticals,"Participating in: GMP Projects, Different Validation Working Parties.Checking and follow up the site validation review plans for (building, HVAC system, services and equipment).Ensuring (under direct supervision of validation section head) that all validation activities and documentation are complying with the recommendations of guidelines as well as VMPs and product master file.Share in preparing the Validation Master Plans (VMP) , design qualification ,installation Qualification & operation Qualification and Performance Qualification Protocols (PQPs) and Validation reports (VR) for different validation activities such as:Process validation.Cleaning validation.Thermal Mapping.Media fill.Internal & External Calibration.Internal & External Qualification.Annual product quality review (APQR).Holding Time for Pharmaceuticals during Manufacturing Process.Following up the following activities to review and approve them: Receiving all calibration certificates, follow its approval and filing.Filing all validation deliverables and retrieving them professionally.Review for all new standard operating procedure related the validation section.",1-3 years of experienceBachelor degree of pharmacy or Science,1 to 3 years,Experienced (Non-Manager),Bachelor's Degree,,Confidential,Medical/Healthcare,"['Quality', 'Quality Assurance', 'Quality Control', 'Medical', 'Healthcare', 'Pharmaceutical', 'Sterile Area', 'Pharmacy', 'Science', 'ISO', 'Validation']",https://wuzzuf.net/jobs/p/e4gLZrnJWB5K-Validation-Specialist-Rameda-Giza-Egypt
5576,5576,Production Section Head (PVC),1,0,0,0,0,0,Posted 28 days ago,"Outservingplus - Badr City, Cairo","OUTSERVING PLUS offers you more than just outsourcing, Talent’s acquisition, and specialized consultancy Services. It...",Applicants for1 open position,78,77,1.0,75.0, 51-100 employees,Outsourcing/Offshoring,1- ensuring health and safety principles2- determining quality control standard3- overseeing production process4- preparing production report and production documentation system 5- organizing predictive maintenance and handling corrective maintenance6- review and analyzing downtime7- develop and improve production personnel 8- conduct performance appraisal for production personnel,1- Bachelor of Engineering or chemistry.2- experience in PVC extrusion 4-6 year 3 - proficient with computer excel and PowerPoint.4- will know with principles of lean manufacturing 5- Good communication skills in English and Arabic.6- experience in ERP System preferably in Odoo.,4 to 6 years,Experienced (Non-Manager),Not Specified,,Confidential,Manufacturing/Production,"['Engineering', 'Health', 'Health and Safety', 'Maintenance', 'Management', 'Mechanical Engineering', 'Microsoft Office', 'Personnel', 'Production', 'quality', 'Quality Control', 'Safety']",https://wuzzuf.net/jobs/p/6kUEdvLtsjg9-Production-Section-Head-PVC-Outservingplus-Cairo-Egypt
3570,3570,Supply Chain Specialist,1,0,0,0,0,0,Posted 14 days ago,"Confidential Company - New Cairo, Cairo",,Applicants for1 open position,97,25,8.0,2.0,,,"Sourcing new suppliers and ensuring that the purchased products and materials meet the required technical specificationsEnsuring that contracts’ terms and conditions are in line with policies and are written in legal formCreate purchase orders and tally these with supply requests and ordersPerform and implement all custom clearance activities such as following upcoming shipments, documents transactionsInspecting and evaluating the quality of purchased items and correcting shortcomingsNegotiating purchase terms and evaluating the suppliers’ performancesPreparing proposals, requesting quotes, and negotiating purchase terms and conditionsConducting market and product research and cost analysisPlan, direct, or coordinate the transportation, storage, or distribution of goods and servicesDevelop forecasting plans to maintain enough inventoryIdentify suppliers of goods and servicesVerify goods reach their destination in a timely mannerEstablish priorities, track assignments, and ensure availability of resourcesMaintain schedules and deadlinesComply with plant standards and shipping regulationsWork with loading and warehouse personnel to ensure shipments and cost targets are metWork with production personnel to verify materials needed to match production schedule            and day-to-day related activities in accordance with the objectives, policies, and procedures.Coordinating with the Clearing Agents and prepare supporting documents required for clearance.Check and approve supplier invoices based on the agreed contract and deliver to accounting.","Bachelor’s degree in business, Logistics, Supply Chain Management, or related field. 3-5 years of experience in a similar role Familiarity with international trade regulations and customs clearance processes. Report writing and presentation skills. Strong analytical skills and ability to use data to drive decisions",3 to 5 years,Experienced (Non-Manager),Not Specified,,Confidential,Logistics/Supply Chain,"['SAP', 'Customs', 'Logistics', 'Management', 'Purchasing', 'Procurement', 'business']",https://wuzzuf.net/jobs/p/QhP94g1ClcnA-Supply-Chain-Specialist-Cairo-Egypt
9399,9399,German Trainer,1,0,0,0,0,0,Posted 2 months ago,"Sykes Enterprises - Luxor, Luxor","As one of the largest global providers of customer experience (CX) products and solutions, Sitel Group® empowers bran...",2 open positions,,,,, 101-500 employees,"Consumer Services, Outsourcing/Offshoring, Telecommunications","RESPONSIBILITIES:Delivering training  (all types of training) for Different CriteriaProvide Customer Cultural & Call Ethics training for newcomersReview the Knowledge updatesPrepare printed and instructional materials to be used in trainingPrepare any learning materials neededConduct effective induction sessions and coordinate training activities.Reviews the performance of trainees and coaches, monitors their results, and gives them direction for ongoing performance and result improvementMeasure trainees' information retention rates by issuing assessment tests and quizzes on training materialsEvaluate the delivered training efficiency (training results, surveys, role plays, …etc)Reporting training batch attendance, verification & performancePreparing and sending training data to the concerned departmentsReport the training efficiencyKeep the company vision, mission, and values and follow all policies and proceduresParticipate in Calibration sessions with Operations and Quality","QUALIFICATIONS and EXPERIENCE:Excellent  knowledge and command of German written and spoken (B2 to C1)Basic English level is required (B1 to B2)BSc degree in Education, Human Resources, or a relevant fieldRelevant experience for at least 6 months to 1 yearCustomer service experience is a mustKnowledge of various training and teaching methodsAbility to design develop, implement, and evaluate training plansProficiency in MS OfficeExcellent presentation and analysis skillsCoaching and Facilitation skillsExcellent communication skillsLeadership and motivation skillsGood time-management skills",1 to 4 years,Experienced (Non-Manager),Not Specified,,Confidential,Customer Service/Support,"['Training', 'Call Center', 'german', 'Contact Center', 'Luxor', 'Customer Care', 'Customer Service']",https://wuzzuf.net/jobs/p/tZNMBqwoJpn0-German-Trainer-Sykes-Enterprises-Luxor-Egypt
8098,8098,Business Development Manager | Real Estate Development,1,0,0,0,0,0,Posted 2 months ago,"Rawaj-HCM - Khobar, Saudi Arabia","It has been a decade of incredible learning, growth and commitment. Operating in the region, we are keen on deliverin...",Applicants for4 open positions,42,4,0.0,0.0, 11-50 employees,"Human Resources, Training and Coaching, Recruitment and Staffing","About our client:Our esteemed client is a visionary force in Saudi Arabian real estate and urban development.With a dedicated emphasis on crafting stunning residential, commercial, and dynamic mixed-use properties, they are reshaping the urban fabric of Saudi Arabia, they showcase their endeavors in enhancing urban landscapes in Saudi Arabia, encompassing completed, ongoing, and potential future developments. Their projects likely reflect their commitment to innovative design, sustainability, and contributing to the growth and enhancement of urban environments within the region. An exceptional opportunity awaits for those ready to join this transformative journey and make their mark in shaping the cities of tomorrow in Saudi Arabia.Position OverviewThe Development Manager will be responsible for managing project developments (potentially multiple projects, depending of scale of projects) within the company from start to finish including commercial management, project management, as well as managing necessary stakeholders to ensure projects are completed on time, within budget and to the approved quality. would also be required to participate, on a need basis, in providing relevant inputs during project identification / evaluation and/ or during evaluation of business development opportunities.What will you do:Manage projects from start to finish, ensuring on-time and within-budget completion.Provide technical expertise on affordable housing programs and local regulations.Lead leasing, partnership negotiations, and legal aspects of projects.Identify strategic partnership opportunities aligned with company goals.Develop business cases for potential projects and assess feasibility.Oversee project teams, including design, construction, and vendors.Ensure compliance with industry standards and safety protocols.Monitor project progress, budgets, and timelines.Transition newly developed facilities to facility management.Analyze project financial feasibility and ongoing performance.Represent the company to diverse audiences effectively.Collaborate with architects, consultants, and local authorities.Optimize value and enhance existing projects.Manage financial records, budgets, and timelines for events.Understand and manage affordable housing and mixed-use projects.Implement effective project management and reporting.Utilize advanced skills in Project Management and MS Office.Demonstrate strong communication and business writing abilities.Navigate community redevelopment dynamics effectively.Maintain up-to-date knowledge of real estate laws and regulations.","What do they expect from you:Bachelor's degree in civil or architecture engineering.Minimum 9 – 12 years of relevant experience in project management and construction management, in real estate development.Design expertiseKnowledge of local agency standardsEffective risk managementStrong planning and scheduling skillsProficiency in latest electrical systemsCollaboration with contractors and agenciesHigh technical proficiencyAccurate cost estimationCommitment to project qualityHighly skilled in Site Administration, Leadership and Problem-solving skills.",8 to 15 years,Manager,Not Specified,,Confidential,Engineering - Construction/Civil/Architecture,"['Business Development', 'Real Estate']",https://wuzzuf.net/jobs/p/4rY7AnCscOzw-Business-Development-Manager-Real-Estate-Development-Rawaj-HCM-Khobar-Saudi-Arabia
5395,5395,FM Engineers,1,0,0,0,0,0,Posted 27 days ago,"candidzone - Doha, Qatar",,People have clicked1 open position,8,,,,,,"We are hiring FM Engineers for one of our clients in Doha.Candidates who have the required qualifications and good experience may apply.RequirementsMinimum 5 years of overall experience with 3 years experience of managing comparable operations in the GCC region. Bachelor’s degree/diploma in Mechanical Engineering or Electrical Engineering.UPDA – Grade A preferred, QCDD is a plus.A valid Qatar driver’s license is a mustFluency in English and Arabic language is a must.Arabic nationalityMale candidates are required.Age: 35 years old and belowWith a transferable visa and valid QID/NOCResiding in Qatar",,Not Specified,Not specified,Not Specified,,Confidential,Installation/Maintenance/Repair,"['Engineering', 'Electrical Engineering', 'Fire Fighting', 'Mechanical Engineering', 'Microsoft Office', 'FM-200', 'AutoCAD', 'Fire Alarm', 'Fire Protection', 'Foam Systems', 'Gas Suppression Systems', 'Mechanical', 'Sprinkler Systems', 'Technical Office', 'Electrical', 'FM', 'Shop Drawings', 'CO2', 'Drawings', 'Fire Fighting Systems']",https://wuzzuf.net/jobs/p/Zl33LmzgVbnm-FM-Engineers-candidzone-Doha-Qatar
7614,7614,HR Operations Supervisor,1,0,0,0,0,0,Posted 1 month ago,"The WaterWay Development... - New Cairo, Cairo","At The Waterway Developments, we operate through a group of subsidiaries offering a broad range of comprehensive serv...",Applicants for1 open position,262,23,0.0,1.0, More than 1000 employees,"Construction - Residential & Commercial/Office, Real Estate/Property Management","As an HR Operations Supervisor, you will be responsible for leading the HR Operations and personal team and ensuring all HR processes and policies are aligned with the goals and objectives of the organization.Your day-to-day duties will involve managing HR operations.","Minimum of 7 experience as a Head of HR Operations or Supervisor.Experience with Human Resources Information Systems including payroll tools.Good knowledge of labor legislationLeadership abilities.Strong knowledge of HR laws, regulations, policies, and procedures.Real Estate Experience is a must.Must be highly analytical, data-driven, and able to handle complexity.Ability to work well under pressure in a fast-paced environment.Must be able to maintain confidentiality in handling sensitive employee and company information.Proficiency in Microsoft Office Suite and HR-related software.",7 to 10 years,Experienced (Non-Manager),Not Specified,,Confidential,Human Resources,"['HR operations', 'Human Resources', 'Human Resources (HR)', 'Payroll', 'Real Estate', 'Supervisor', 'HR', 'Operations']",https://wuzzuf.net/jobs/p/1VkwlxRIODlR-HR-Operations-Supervisor-The-WaterWay-Developments-Cairo-Egypt
206,206,Sales Manager,1,0,0,0,0,0,Posted 1 day ago,"PPIB - Downtown, Cairo",Public Partners Insurance Brokerage Company is an Egyptian joint stock company established in accordance with the pro...,Applicants for1 open position,23,17,2.0,0.0, 51-100 employees,"Business Services - Other, Insurance","Key Responsibilities:As the Sales Manager at [PPIB], you will play a pivotal role in the success of our sales department. Your responsibilities will include:1. Sales Strategy Development:•Collaborate with the executive team to develop and implement sales strategies aligned with the company's goals and objectives.•Analyze market trends and competition to identify growth opportunities and market segments.•Develop comprehensive sales plans that include sales targets, product/service positioning, and customer segmentation strategies.2. Target Setting:•Set clear and achievable sales targets for the sales team, individuals, and territories.•Continuously monitor and assess team performance against targets.•Provide guidance and coaching to ensure the team meets or exceeds sales goals.3. Budget Awareness:•Develop and manage the sales department budget, ensuring efficient allocation of resources.•Monitor expenses and revenue closely to optimize profitability.•Identify cost-saving opportunities and implement strategies to maximize ROI.4. Team Leadership:•Recruit, train, and mentor sales professionals, fostering a culture of excellence and continuous improvement.•Provide regular feedback and performance evaluations to team members.•Create a motivating and collaborative work environment that encourages achievement.","Qualifications:•Bachelor's degree in business, sales, or a related field (MBA preferred).•Proven track record of success in sales management, with at least [5] years of experience.•Strong leadership and team-building skills.•Excellent communication, negotiation, and interpersonal abilities.•Proficiency in budget management and financial analysis.•In-depth knowledge of the insurance industry and related products.•Strategic thinker with a results-oriented mindset.•Ability to adapt to changing market conditions and lead a team to achieve sales targets.•Industrial areas are preferred.",5 to 10 years,Manager,Not Specified,,Confidential,Business Development,"['business', 'Communication', 'Customer Service', 'Leadership', 'Management', 'Sales', 'Sales Management', 'sales skills', 'Sales Target', 'Negotiation']",https://wuzzuf.net/jobs/p/SU8qDoi6QT1K-Sales-Manager-PPIB-Cairo-Egypt
6300,6300,Accountant,1,0,0,0,0,0,Posted 1 month ago,"Domain - Nasr City, Cairo","OUR STORY	
Domain was established in February 2003 by group of IT Experienced and Knowledgeable Professionals who pre...",Applicants for1 open position,294,246,48.0,89.0, 101-500 employees,"Computer and Network Security, Computer Networking, Security and Surveillance","Ability to deal with all Accounting activities which includeResponsible for bookkeeping.Responsible for daily invoices.Inventory controller.Resolve billing and customer credit issues.Updating the financial records through the company's activated ERPs program, as well as saved backup copies on external Excell-sheets or through the accounting program.Collecting and preparing data on salary expenses.Publish financial statements in time.Audit financial transactions and documents.","Bachelor's degree in Accounting.Previous experience of 1 year at least as an accountant.Ability to work an accounting software (ERPs) Proficiency in Microsoft Office ( Word, Excell, Outlook, Powerpoint).High level of attention to detail to avoid mistakes and can work under pressure.Good communication skills.",1 to 3 years,Experienced (Non-Manager),Bachelor's Degree,,Confidential,Accounting/Finance,"['Accounting', 'Finance', 'Financial Management', 'petty cash', 'book keeping']",https://wuzzuf.net/jobs/p/nXHf76H45EuD-Accountant-Domain-Cairo-Egypt
3271,3271,Accountant,1,0,0,0,0,0,Posted 13 days ago,"Egypt Gold  - Luxor, Luxor",EGYPT GOLD is an Egyptian company that was established 80 years ago with a focus of jewelry business manufacturing. T...,Applicants for1 open position,52,9,0.0,0.0, More than 1000 employees,Luxury Goods and Jewelry,"Manage all accounting transactions.Prepare budget forecasts.Publish financial statements in time.Handle monthly, quarterly and annual closings.Reconcile accounts payable and receivable.Ensure timely bank payments.Compute taxes and prepare tax returns.Manage balance sheets and profit/loss statements.Report on the company’s financial health and liquidity.Audit financial transactions and documents.Reinforce financial data confidentiality and conduct database backups when necessary.Comply with financial policies and regulations.","Work experience as an Accountant.Excellent knowledge of accounting regulations and procedures, including the Generally Accepted Accounting Principles (GAAP).Hands-on experience with accounting software.Advanced MS Excel skills including Vlookups and pivot tables.Experience with general ledger functions.Strong attention to detail and good analytical skills.BSc in Accounting, Finance or relevant degree.Additional certification (CPA or CMA) is a plus.",2 to 7 years,Experienced (Non-Manager),Not Specified,,Confidential,Accounting/Finance,"['Accounting', 'Finance', 'Financial Analysis', 'Commerce', 'Financial Management', 'computer', 'English']",https://wuzzuf.net/jobs/p/qsNHJrnq0j9w-Accountant-Egypt-Gold-Luxor-Egypt
7992,7992,C1 English Voice & Chatting Account serving UAE– Ras El Kheima.(CAIRO)/ Max Shift 8PM,1,0,0,0,0,0,Posted 2 months ago,"Majorel Egypt - Cairo, Egypt","We serve customers across the world through our 58,000+ employees based in 30 countries in Europe, the Middle East, A...",Applicants for500 open positions,32,32,0.0,0.0, More than 1000 employees,Outsourcing/Offshoring,Handling customers by chatting and Emails and callsProblem solving.Build a good Rapport with ClientsRespond promptly to customer inquiries.Handle and resolve customer complaints.Obtain and evaluate all relevant information to handle customer and service inquiries.Manage customers' accounts.Follow up on customer interaction.,"We are hiring Voice & Chatting Account – serving UAE – Ras El Kheima.*Work location one katameya Transportation provided to El Zahraa and Stadium metro station*· Fluent in spoken and written English.(C1 ENGLISH )(IT'S A MUST )· Graduates only· Males and Females.· Minimum 2 to 4 Years of experience in CS field is required.(IT'S A MUST)/ also sales skills it’s a Must· Negotiation skills are required.· Rotational shifts from 8 AM to 8 PM· Rotational Weekends · 10,000 Gross for the English Profile (80% Fixed and 20% KPIs).",More than 1 year,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,,8500 to 10000 EGP Per Month,Customer Service/Support,"['Customer Service', 'English', 'fluent English']",https://wuzzuf.net/jobs/p/HX5xVlaoP63B-C1-English-Voice-Chatting-Account-serving-UAE–-Ras-El-KheimaCAIRO-Max-Shift-8PM-Majorel-Egypt-Cairo-Egypt
1978,1978,Sales Representative (Shipping),1,0,0,0,0,0,Posted 8 days ago,"International Trade Offi... - Bab Sharq, Alexandria",International Trade Office  I.T.O established in 1979 as a trading company concerns mainly with all activities of imp...,Applicants for1 open position,29,0,0.0,0.0, 101-500 employees,"Computer Software, Manufacturing","We are hiring ""Sales Rep."" in International Shipping Company in Alexandria & will be responsible forDedicated Sales performance against assigned targetDevelop the new clientsTo respond to incoming queries and ensures the resolution of servicePrepare and attend client meetingsHave continuous engagement with customers to maintain close relationships and ensure ongoing success with accounts","With the following qualificationsBachelor degree preferred English Commerce OR Arab Academy for Science, Technology & Maritime Transport (Transport and International Logistics)Excellent Command of the English LanguageExcellent Communication & Interpersonal Skills",2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,,Confidential,Logistics/Supply Chain,"['Sales', 'Sales Target', 'Sales Skills', 'Shipping Sales', 'Commerce', 'Transport and International Logistics', 'Logistics', 'Supply Chain', 'Skills', 'Communication']",https://wuzzuf.net/jobs/p/KDlVnZGOHOpO-Sales-Representative-Shipping-International-Trade-Office-Alexandria-Egypt
